"university";"country";"score";"year"
"Harvard University";"USA";100.0;2012
"Massachusetts Institute of Technology";"USA";91.67;2012
"Stanford University";"USA";89.5;2012
"University of Cambridge";"United Kingdom";86.17;2012
"California Institute of Technology";"USA";85.21;2012
"Princeton University";"USA";82.5;2012
"University of Oxford";"United Kingdom";82.34;2012
"Yale University";"USA";79.14;2012
"Columbia University";"USA";78.86;2012
"University of California, Berkeley";"USA";78.55;2012
"University of Chicago";"USA";73.82;2012
"Cornell University";"USA";73.69;2012
"University of Pennsylvania";"USA";73.64;2012
"University of Tokyo";"Japan";69.49;2012
"Johns Hopkins University";"USA";66.94;2012
"Swiss Federal Institute of Technology in Zurich";"Switzerland";66.69;2012
"Kyoto University";"Japan";65.76;2012
"Weizmann Institute of Science";"Israel";65.09;2012
"University of California, Los Angeles";"USA";64.05;2012
"University of California, San Diego";"USA";63.11;2012
"Rockefeller University";"USA";61.74;2012
"Hebrew University of Jerusalem";"Israel";60.76;2012
"New York University";"USA";60.55;2012
"University of California, San Francisco";"USA";59.7;2012
"University of Wisconsin–Madison";"USA";59.66;2012
"University of Illinois at Urbana–Champaign";"USA";59.0;2012
"Duke University";"USA";58.37;2012
"Imperial College London";"United Kingdom";57.53;2012
"University of Texas Southwestern Medical Center";"USA";56.43;2012
"University of Texas at Austin";"USA";56.18;2012
"University College London";"United Kingdom";55.21;2012
"Osaka University";"Japan";54.43;2012
"Northwestern University";"USA";54.4;2012
"University of Michigan, Ann Arbor";"USA";53.72;2012
"University of Toronto";"Canada";53.43;2012
"University of North Carolina at Chapel Hill";"USA";53.09;2012
"Washington University in St. Louis";"USA";52.9;2012
"University of Utah";"USA";52.64;2012
"University of Washington - Seattle";"USA";52.25;2012
"University of California, Santa Barbara";"USA";52.15;2012
"McGill University";"Canada";51.72;2012
"Purdue University, West Lafayette";"USA";51.66;2012
"Carnegie Mellon University";"USA";51.6;2012
"University of Southern California";"USA";51.38;2012
"University of California, Davis";"USA";51.06;2012
"University of Colorado Boulder";"USA";50.68;2012
"University of California, Irvine";"USA";50.64;2012
"University of Paris-Sud";"France";50.44;2012
"University of Minnesota, Twin Cities";"USA";50.3;2012
"University of Arizona";"USA";50.29;2012
"Technion – Israel Institute of Technology";"Israel";50.01;2012
"Ohio State University, Columbus";"USA";49.54;2012
"University of Rochester";"USA";49.51;2012
"École normale supérieure - Paris";"France";49.1;2012
"University of Florida";"USA";48.8;2012
"Tel Aviv University";"Israel";48.76;2012
"Rice University";"USA";48.76;2012
"Dartmouth College";"USA";48.5;2012
"Vanderbilt University";"USA";48.44;2012
"University of Edinburgh";"United Kingdom";48.43;2012
"École Polytechnique";"France";48.33;2012
"Boston University";"USA";48.31;2012
"Pierre-and-Marie-Curie University";"France";48.26;2012
"Pennsylvania State University, University Park";"USA";48.15;2012
"University of Geneva";"Switzerland";47.94;2012
"Brown University";"USA";47.91;2012
"University of British Columbia";"Canada";47.74;2012
"University of Maryland, College Park";"USA";47.69;2012
"Swiss Federal Institute of Technology in Lausanne";"Switzerland";47.68;2012
"Karolinska Institute";"Sweden";47.61;2012
"University of Pittsburgh - Pittsburgh Campus";"USA";47.59;2012
"Rutgers University-New Brunswick";"USA";47.5;2012
"Texas A&M University, College Station";"USA";47.31;2012
"Nagoya University";"Japan";46.89;2012
"Seoul National University";"South Korea";46.74;2012
"University of Manchester";"United Kingdom";46.38;2012
"Sapienza University of Rome";"Italy";46.34;2012
"Case Western Reserve University";"USA";46.11;2012
"Tohoku University";"Japan";45.82;2012
"Arizona State University";"USA";45.7;2012
"Emory University";"USA";45.47;2012
"Ruprecht Karl University of Heidelberg";"Germany";45.33;2012
"Ludwig Maximilian University of Munich";"Germany";45.21;2012
"University of Virginia";"USA";45.2;2012
"Leiden University";"Netherlands";45.13;2012
"Tufts University";"USA";44.91;2012
"Georgia Institute of Technology";"USA";44.71;2012
"University of Zurich";"Switzerland";44.51;2012
"University of Helsinki";"Finland";44.44;2012
"Technical University of Munich";"Germany";44.32;2012
"University of Oslo";"Norway";44.26;2012
"University of Queensland";"Australia";44.18;2012
"University of Copenhagen";"Denmark";44.15;2012
"University of Sydney";"Australia";44.13;2012
"Williams College";"USA";43.89;2012
"University of Texas MD Anderson Cancer Center";"USA";43.88;2012
"University of Nottingham";"United Kingdom";43.79;2012
"University of Bristol";"United Kingdom";43.77;2012
"Utrecht University";"Netherlands";43.47;2012
"Mines ParisTech";"France";43.36;2012
"Harvard University";"USA";100.0;2013
"Stanford University";"USA";93.94;2013
"University of Oxford";"United Kingdom";92.54;2013
"Massachusetts Institute of Technology";"USA";91.45;2013
"University of Cambridge";"United Kingdom";90.24;2013
"Columbia University";"USA";88.21;2013
"University of California, Berkeley";"USA";85.07;2013
"Princeton University";"USA";82.17;2013
"University of Chicago";"USA";79.16;2013
"Yale University";"USA";78.83;2013
"California Institute of Technology";"USA";77.59;2013
"University of Pennsylvania";"USA";77.24;2013
"Cornell University";"USA";76.99;2013
"University of Tokyo";"Japan";76.23;2013
"Kyoto University";"Japan";69.46;2013
"University of California, Los Angeles";"USA";67.84;2013
"Johns Hopkins University";"USA";65.64;2013
"Swiss Federal Institute of Technology in Zurich";"Switzerland";64.99;2013
"New York University";"USA";63.99;2013
"University of California, San Diego";"USA";63.12;2013
"Hebrew University of Jerusalem";"Israel";59.98;2013
"University of California, San Francisco";"USA";59.38;2013
"University of Wisconsin–Madison";"USA";58.94;2013
"University of Illinois at Urbana–Champaign";"USA";58.33;2013
"Duke University";"USA";57.72;2013
"University of Texas at Austin";"USA";57.71;2013
"Imperial College London";"United Kingdom";56.75;2013
"Northwestern University";"USA";56.12;2013
"University of Toronto";"Canada";56.11;2013
"University College London";"United Kingdom";56.0;2013
"University of Washington - Seattle";"USA";55.79;2013
"University of Michigan, Ann Arbor";"USA";55.77;2013
"Weizmann Institute of Science";"Israel";54.34;2013
"University of North Carolina at Chapel Hill";"USA";52.87;2013
"Osaka University";"Japan";52.79;2013
"University of Paris-Sud";"France";51.72;2013
"University of California, Santa Barbara";"USA";51.67;2013
"Purdue University, West Lafayette";"USA";51.59;2013
"University of Southern California";"USA";51.56;2013
"Seoul National University";"South Korea";51.31;2013
"University of Colorado Boulder";"USA";51.16;2013
"University of Utah";"USA";51.14;2013
"Rutgers University-New Brunswick";"USA";51.09;2013
"University of Minnesota, Twin Cities";"USA";50.98;2013
"University of Edinburgh";"United Kingdom";50.98;2013
"University of Texas Southwestern Medical Center";"USA";50.79;2013
"McGill University";"Canada";50.77;2013
"Pierre-and-Marie-Curie University";"France";50.58;2013
"Rockefeller University";"USA";50.43;2013
"Pennsylvania State University, University Park";"USA";49.84;2013
"Carnegie Mellon University";"USA";49.56;2013
"Ohio State University, Columbus";"USA";49.41;2013
"University of California, Davis";"USA";49.16;2013
"Boston University";"USA";48.96;2013
"University of Florida";"USA";48.93;2013
"University of Geneva";"Switzerland";48.83;2013
"Tel Aviv University";"Israel";48.72;2013
"University of British Columbia";"Canada";48.51;2013
"University of Maryland, College Park";"USA";48.39;2013
"Karolinska Institute";"Sweden";47.98;2013
"Vanderbilt University";"USA";47.8;2013
"Sapienza University of Rome";"Italy";47.75;2013
"Washington University in St. Louis";"USA";47.72;2013
"École normale supérieure - Paris";"France";47.7;2013
"University of California, Irvine";"USA";47.52;2013
"Technion – Israel Institute of Technology";"Israel";47.45;2013
"Ludwig Maximilian University of Munich";"Germany";47.25;2013
"University of Copenhagen";"Denmark";47.12;2013
"University of Pittsburgh - Pittsburgh Campus";"USA";47.08;2013
"Keio University";"Japan";47.05;2013
"University of Virginia";"USA";46.92;2013
"University of Manchester";"United Kingdom";46.85;2013
"Arizona State University";"USA";46.72;2013
"University of Zurich";"Switzerland";46.54;2013
"King's College London";"United Kingdom";46.53;2013
"University of Rochester";"USA";46.44;2013
"Brown University";"USA";46.43;2013
"University of Arizona";"USA";46.39;2013
"Ruprecht Karl University of Heidelberg";"Germany";46.24;2013
"Texas A&M University, College Station";"USA";46.17;2013
"University of Oslo";"Norway";46.1;2013
"Dartmouth College";"USA";46.04;2013
"Swiss Federal Institute of Technology in Lausanne";"Switzerland";45.73;2013
"Utrecht University";"Netherlands";45.73;2013
"Indiana University - Bloomington";"USA";45.71;2013
"École Polytechnique";"France";45.38;2013
"National University of Singapore";"Singapore";45.2;2013
"University of Texas MD Anderson Cancer Center";"USA";45.12;2013
"Stony Brook University";"USA";45.01;2013
"Lomonosov Moscow State University";"Russia";44.93;2013
"Nagoya University";"Japan";44.78;2013
"University of Sydney";"Australia";44.77;2013
"Emory University";"USA";44.53;2013
"Rice University";"USA";44.53;2013
"Tohoku University";"Japan";44.52;2013
"Australian National University";"Australia";44.5;2013
"University of Alberta";"Canada";44.5;2013
"University of Helsinki";"Finland";44.39;2013
"Paris Diderot University - Paris 7";"France";44.36;2013
"Georgia Institute of Technology";"USA";44.26;2013
"Harvard University";"USA";100.0;2014
"Stanford University";"USA";99.09;2014
"Massachusetts Institute of Technology";"USA";98.69;2014
"University of Cambridge";"United Kingdom";97.64;2014
"University of Oxford";"United Kingdom";97.51;2014
"Columbia University";"USA";97.41;2014
"University of California, Berkeley";"USA";92.84;2014
"University of Chicago";"USA";92.03;2014
"Princeton University";"USA";88.56;2014
"Yale University";"USA";88.11;2014
"Cornell University";"USA";85.8;2014
"California Institute of Technology";"USA";85.5;2014
"University of Tokyo";"Japan";80.64;2014
"University of Pennsylvania";"USA";79.3;2014
"University of California, Los Angeles";"USA";78.35;2014
"Kyoto University";"Japan";73.21;2014
"New York University";"USA";72.29;2014
"Swiss Federal Institute of Technology in Zurich";"Switzerland";72.18;2014
"Johns Hopkins University";"USA";71.17;2014
"University of California, San Diego";"USA";68.36;2014
"University of Michigan, Ann Arbor";"USA";68.27;2014
"Hebrew University of Jerusalem";"Israel";66.76;2014
"Northwestern University";"USA";66.18;2014
"Seoul National University";"South Korea";66.06;2014
"University of Wisconsin–Madison";"USA";65.77;2014
"Duke University";"USA";63.56;2014
"University of California, San Francisco";"USA";63.36;2014
"University of Illinois at Urbana–Champaign";"USA";62.89;2014
"University of Texas at Austin";"USA";62.57;2014
"University College London";"United Kingdom";61.05;2014
"University of Toronto";"Canada";60.87;2014
"University of Washington - Seattle";"USA";60.28;2014
"Rutgers University-New Brunswick";"USA";60.0;2014
"Keio University";"Japan";59.84;2014
"École normale supérieure - Paris";"France";59.72;2014
"École Polytechnique";"France";59.54;2014
"Rockefeller University";"USA";59.49;2014
"Weizmann Institute of Science";"Israel";59.17;2014
"Imperial College London";"United Kingdom";58.85;2014
"Waseda University";"Japan";58.69;2014
"University of Virginia";"USA";58.6;2014
"McGill University";"Canada";58.39;2014
"Osaka University";"Japan";58.35;2014
"Dartmouth College";"USA";58.0;2014
"University of North Carolina at Chapel Hill";"USA";57.51;2014
"Pennsylvania State University, University Park";"USA";57.19;2014
"Ohio State University, Columbus";"USA";57.01;2014
"Lomonosov Moscow State University";"Russia";56.42;2014
"University of Minnesota, Twin Cities";"USA";56.13;2014
"University of Paris-Sud";"France";56.06;2014
"University of Southern California";"USA";55.7;2014
"Purdue University, West Lafayette";"USA";55.67;2014
"University of Pittsburgh - Pittsburgh Campus";"USA";55.67;2014
"Carnegie Mellon University";"USA";55.3;2014
"Peking University";"China";55.3;2014
"University of Edinburgh";"United Kingdom";55.2;2014
"University of California, Davis";"USA";55.18;2014
"Washington University in St. Louis";"USA";54.93;2014
"University of Florida";"USA";54.76;2014
"University of California, Santa Barbara";"USA";54.76;2014
